ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
187,Male,Yes,55,Yes,Artist,0.0,Average,2.0,Cat_6,C
10284,Male,Yes,28,Yes,Entertainment,3.0,Average,3.0,Cat_7,B
5818,Female,Yes,82,Yes,Lawyer,0.0,High,2.0,Cat_6,B
6886,Male,Yes,40,Yes,Artist,,Low,3.0,Cat_6,C
7994,Female,Yes,48,Yes,Doctor,0.0,Average,2.0,Cat_6,B
6044,Male,Yes,59,Yes,Entertainment,,Low,,Cat_3,A
2678,Male,No,22,No,Engineer,0.0,Low,4.0,Cat_6,D
2359,Female,No,29,Yes,Homemaker,13.0,Low,1.0,Cat_6,A
10295,Male,No,31,No,Healthcare,2.0,Low,5.0,Cat_2,A
7323,Female,Yes,68,No,Lawyer,1.0,Low,2.0,Cat_4,B
7792,Female,No,40,Yes,Artist,0.0,Low,1.0,Cat_6,A
4281,Male,Yes,49,No,Artist,1.0,Low,1.0,Cat_6,C
9115,Female,Yes,84,Yes,Lawyer,,High,2.0,Cat_6,C
9101,Male,No,27,Yes,Healthcare,6.0,Low,5.0,Cat_2,C
4785,Female,Yes,35,Yes,Homemaker,9.0,Average,2.0,Cat_4,B
5424,Female,No,32,No,Healthcare,0.0,Low,,Cat_7,D
5653,Female,Yes,69,Yes,Artist,0.0,Low,2.0,Cat_6,C
3432,Male,Yes,65,Yes,Entertainment,1.0,Average,2.0,Cat_6,C
6277,Male,Yes,80,Yes,Lawyer,0.0,Low,1.0,Cat_6,D
1521,Female,Yes,45,Yes,Artist,4.0,High,4.0,Cat_6,C
6172,Female,Yes,32,No,Doctor,1.0,Low,5.0,Cat_6,A
2201,Female,Yes,75,Yes,Lawyer,0.0,High,2.0,Cat_6,C
280,Male,Yes,84,No,Lawyer,1.0,High,2.0,Cat_6,A
445,Female,Yes,39,Yes,Homemaker,8.0,Low,1.0,Cat_6,D
7769,Female,Yes,49,Yes,Artist,9.0,Low,2.0,Cat_6,B
3803,Male,Yes,35,Yes,Entertainment,1.0,Low,2.0,Cat_6,A
9354,Female,No,27,Yes,Engineer,11.0,Low,1.0,Cat_6,B
115,Male,Yes,46,No,Entertainment,1.0,Average,4.0,Cat_3,C
9252,Male,Yes,71,No,Marketing,1.0,Low,1.0,Cat_6,D
172,Female,No,28,Yes,Entertainment,6.0,Low,3.0,Cat_4,B
6289,Male,No,28,Yes,Doctor,1.0,Low,2.0,Cat_6,D
3397,Male,Yes,46,Yes,Marketing,,Low,1.0,Cat_6,D
8960,Female,No,23,No,Healthcare,6.0,Low,3.0,Cat_3,D
2395,Female,Yes,42,Yes,Artist,2.0,Average,2.0,Cat_6,C
8886,Male,Yes,74,No,Lawyer,0.0,High,2.0,Cat_6,A
7348,Male,Yes,56,No,Artist,0.0,Low,2.0,,C
4912,Male,No,27,Yes,Healthcare,1.0,Low,5.0,Cat_6,D
6734,Female,Yes,43,Yes,Artist,,Average,2.0,Cat_6,A
8698,Female,Yes,62,Yes,Artist,1.0,Average,2.0,Cat_6,B
8778,Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6,C
2082,Female,Yes,63,No,Marketing,,Average,6.0,Cat_4,A
3919,Male,Yes,63,Yes,Lawyer,5.0,High,2.0,Cat_6,B
858,Female,Yes,51,No,Healthcare,0.0,High,3.0,Cat_4,D
5381,Male,No,26,Yes,Healthcare,0.0,Low,3.0,Cat_3,C
8792,Male,No,35,Yes,Entertainment,0.0,Low,1.0,Cat_6,A
7429,Female,Yes,43,Yes,Artist,3.0,Average,2.0,Cat_6,C
3099,Male,No,33,No,Healthcare,8.0,Low,4.0,,D
3075,Male,No,31,No,Healthcare,0.0,Low,4.0,Cat_6,D
3698,Female,No,43,Yes,Healthcare,9.0,Low,1.0,Cat_6,D
2734,Female,No,23,No,Healthcare,1.0,Low,3.0,Cat_6,D
5293,Male,Yes,59,Yes,Marketing,0.0,Average,3.0,Cat_6,B
7791,Female,No,41,Yes,Artist,0.0,Low,1.0,Cat_6,A
233,Female,Yes,49,Yes,Artist,1.0,Low,2.0,,C
1463,Male,No,19,No,Healthcare,8.0,Low,4.0,Cat_1,A
6484,Male,Yes,88,No,Executive,0.0,High,3.0,Cat_6,D
1989,Male,No,37,Yes,Entertainment,9.0,Low,1.0,Cat_6,D
10388,Female,No,20,No,Healthcare,2.0,Low,6.0,Cat_2,D
1701,Male,No,42,Yes,Artist,1.0,Low,1.0,Cat_2,A
530,Female,Yes,59,No,Lawyer,0.0,Low,1.0,Cat_2,B
1095,Male,No,31,No,Engineer,8.0,Low,2.0,Cat_3,D
757,Male,Yes,42,No,Entertainment,1.0,Low,3.0,Cat_4,A
3309,Male,No,37,Yes,Engineer,1.0,Low,3.0,Cat_6,D
2390,Female,Yes,72,Yes,Lawyer,1.0,High,,,C
3550,Male,Yes,89,No,Lawyer,0.0,Low,,Cat_6,A
9774,Male,No,32,Yes,Artist,0.0,Low,3.0,Cat_4,A
173,Female,No,30,Yes,Healthcare,13.0,Low,,Cat_6,D
3597,Male,Yes,47,Yes,Executive,0.0,Average,5.0,Cat_2,B
9551,Male,Yes,42,Yes,Artist,0.0,Average,2.0,Cat_6,B
8963,Female,Yes,50,Yes,Artist,0.0,Average,9.0,Cat_6,C
1779,Female,,49,No,Marketing,1.0,Average,3.0,Cat_4,C
4305,Male,Yes,41,No,Executive,5.0,High,3.0,Cat_4,D
6790,Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6,B
776,Female,Yes,69,Yes,Artist,,Average,2.0,Cat_3,C
6438,Female,Yes,53,No,Engineer,0.0,Average,3.0,Cat_6,A
8168,Male,Yes,37,No,Entertainment,0.0,Low,5.0,Cat_4,A
1966,Female,Yes,38,No,Entertainment,3.0,Average,3.0,Cat_6,B
982,Female,No,33,Yes,Healthcare,0.0,Low,,Cat_6,B
5868,Male,Yes,36,No,Entertainment,9.0,Average,2.0,Cat_6,B
1289,Male,No,18,No,Doctor,4.0,Low,2.0,Cat_6,A
3645,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6,D
668,Female,No,23,No,Healthcare,4.0,Low,3.0,Cat_6,D
4146,Male,No,29,No,Doctor,0.0,Low,3.0,Cat_3,C
6223,Male,No,41,Yes,Artist,9.0,Low,3.0,Cat_6,B
2955,Male,No,38,Yes,Doctor,7.0,Low,1.0,Cat_6,C
2341,Male,No,19,No,Healthcare,5.0,Low,4.0,Cat_3,A
9420,Female,No,19,No,Healthcare,,Low,6.0,Cat_3,D
9503,Male,Yes,35,Yes,Artist,9.0,Low,1.0,Cat_6,A
1756,Male,No,41,Yes,Doctor,2.0,Low,2.0,Cat_6,C
5735,Female,Yes,40,Yes,Artist,1.0,Average,2.0,Cat_4,A
5687,Male,Yes,59,Yes,Artist,1.0,Average,3.0,Cat_3,A
9659,Male,Yes,47,Yes,Artist,0.0,Low,2.0,Cat_6,C
771,Male,Yes,38,No,Artist,1.0,Average,3.0,Cat_6,C
3873,Male,,32,Yes,Healthcare,8.0,High,5.0,Cat_7,D
6548,Male,No,48,Yes,Artist,1.0,Low,1.0,Cat_6,B
2932,Male,No,25,No,Healthcare,0.0,Low,4.0,Cat_6,D
7091,Male,Yes,67,Yes,Artist,0.0,Low,1.0,Cat_3,B
1755,Female,No,39,Yes,Artist,3.0,Low,4.0,Cat_6,D
5693,Female,No,42,Yes,Entertainment,6.0,Low,2.0,Cat_6,A
2966,Male,Yes,53,Yes,Doctor,,Average,2.0,Cat_6,B
1886,Male,Yes,59,Yes,Entertainment,1.0,Average,3.0,Cat_6,B
3215,Male,Yes,30,Yes,Homemaker,3.0,Low,2.0,Cat_1,D
4616,Male,Yes,39,Yes,Healthcare,11.0,Average,2.0,Cat_2,D
2620,Female,No,52,Yes,Engineer,3.0,Low,1.0,Cat_6,A
4893,Female,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_6,C
4164,Male,Yes,72,No,Entertainment,1.0,Average,3.0,Cat_6,C
5358,Male,Yes,82,Yes,Lawyer,,High,2.0,Cat_6,B
1438,Female,No,26,Yes,Healthcare,1.0,Low,5.0,Cat_6,B
5322,Male,No,35,Yes,Doctor,3.0,Low,1.0,Cat_6,A
7489,Male,No,71,No,Lawyer,,Low,2.0,Cat_6,D
5812,Male,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,A
1836,Male,Yes,37,No,Engineer,0.0,Average,2.0,Cat_1,C
9414,Male,Yes,43,No,Artist,0.0,Average,4.0,Cat_2,A
2117,Female,Yes,58,Yes,Artist,1.0,Average,2.0,Cat_6,C
7277,Female,Yes,41,Yes,Artist,3.0,Low,2.0,Cat_6,A
9801,Male,No,19,No,Healthcare,8.0,Low,6.0,Cat_6,D
2757,Female,Yes,26,No,Entertainment,1.0,Average,2.0,Cat_4,A
9865,Female,Yes,45,Yes,Artist,1.0,Average,4.0,Cat_6,B
7093,Male,No,33,No,Marketing,,Low,,Cat_6,C
2818,Female,Yes,51,Yes,Homemaker,9.0,Average,2.0,Cat_6,D
8344,Female,No,30,No,Healthcare,,Low,,,C
8743,Female,Yes,55,Yes,Artist,0.0,Low,2.0,Cat_6,B
2585,Male,Yes,82,No,Executive,1.0,High,2.0,Cat_6,B
9935,Male,No,23,No,Healthcare,3.0,Low,2.0,Cat_4,D
5489,Male,Yes,48,No,,0.0,Average,4.0,Cat_4,D
3718,Male,Yes,41,No,Entertainment,0.0,Low,4.0,Cat_6,A
5037,Male,Yes,36,No,Artist,,Average,3.0,Cat_6,B
1049,Male,Yes,62,Yes,Entertainment,1.0,Low,2.0,Cat_6,B
10575,Female,Yes,43,Yes,Engineer,0.0,High,4.0,Cat_3,A
9165,Male,Yes,89,Yes,Lawyer,0.0,High,2.0,Cat_6,C
8163,Female,No,21,No,Healthcare,0.0,Low,4.0,Cat_2,D
5927,Male,Yes,40,Yes,Doctor,0.0,Average,5.0,Cat_6,B
1947,Female,Yes,36,Yes,Entertainment,1.0,Low,2.0,Cat_3,A
7085,Male,No,43,Yes,Engineer,0.0,Low,1.0,Cat_6,A
1086,Male,Yes,48,Yes,Artist,,Low,6.0,Cat_6,B
9722,Female,No,39,Yes,Artist,1.0,Low,3.0,Cat_6,A
4778,Female,No,30,Yes,Engineer,0.0,Low,4.0,Cat_3,C
8958,Male,No,31,No,Homemaker,14.0,Low,1.0,Cat_6,D
3603,Male,Yes,55,No,Engineer,1.0,Low,5.0,Cat_6,A
10590,Male,No,18,No,Healthcare,1.0,Low,3.0,Cat_4,D
5275,Female,Yes,42,Yes,Artist,1.0,Low,,Cat_6,B
10576,Female,No,38,Yes,Artist,8.0,Low,1.0,Cat_6,A
6799,Male,No,37,Yes,Entertainment,0.0,Low,2.0,Cat_2,B
9691,Male,No,83,Yes,Lawyer,0.0,Low,1.0,Cat_6,D
8143,Male,No,29,No,Healthcare,2.0,Low,5.0,Cat_2,D
4079,Male,Yes,50,Yes,Doctor,1.0,Low,2.0,Cat_6,C
10220,Female,No,37,Yes,Healthcare,1.0,Low,1.0,Cat_6,B
694,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D
1697,Male,Yes,45,Yes,Artist,2.0,Average,3.0,Cat_3,D
5176,Female,Yes,78,No,Lawyer,1.0,High,2.0,Cat_6,B
4113,Female,No,22,No,Healthcare,5.0,Low,3.0,Cat_2,D
8708,Male,Yes,33,No,Doctor,0.0,Average,5.0,Cat_6,D
815,Female,Yes,40,No,Engineer,0.0,Low,3.0,Cat_4,D
6589,Male,No,20,No,Healthcare,0.0,Low,,Cat_6,D
4242,Male,Yes,60,Yes,Artist,0.0,Low,3.0,Cat_6,B
6555,Female,Yes,63,No,Engineer,4.0,Average,8.0,Cat_4,D
1231,Male,Yes,55,Yes,Entertainment,0.0,Low,4.0,Cat_4,A
7425,Male,Yes,41,Yes,Artist,0.0,High,3.0,Cat_6,C
8935,Female,Yes,51,Yes,Doctor,0.0,Average,6.0,Cat_4,C
3789,Male,Yes,73,No,Executive,1.0,High,2.0,Cat_4,D
5705,Female,Yes,39,Yes,Artist,2.0,High,2.0,Cat_5,C
1636,Female,Yes,71,Yes,Lawyer,2.0,Low,6.0,Cat_1,A
5423,Male,No,40,Yes,Doctor,4.0,Low,2.0,Cat_6,C
5400,Female,Yes,47,No,Engineer,8.0,Low,1.0,Cat_3,A
4393,Male,Yes,35,Yes,Artist,,Average,4.0,Cat_3,D
3408,Female,Yes,47,Yes,Marketing,1.0,Low,1.0,Cat_6,D
113,Male,Yes,32,Yes,Artist,9.0,Average,2.0,Cat_6,B
1257,Male,Yes,57,No,Entertainment,0.0,Low,4.0,Cat_3,A
9223,Male,No,19,No,Healthcare,2.0,Low,5.0,Cat_2,D
7135,Female,Yes,43,Yes,Artist,4.0,Average,2.0,Cat_6,A
6057,Male,Yes,87,Yes,Lawyer,0.0,High,2.0,Cat_6,A
3562,Male,Yes,67,Yes,Homemaker,1.0,Average,2.0,Cat_2,B
5729,Female,No,28,No,Homemaker,8.0,Low,,Cat_6,D
6063,Male,Yes,60,Yes,Executive,0.0,High,3.0,Cat_6,B
9678,Male,Yes,84,Yes,Lawyer,1.0,High,2.0,Cat_6,B
166,Male,No,27,No,Doctor,9.0,Low,4.0,Cat_6,D
7252,Male,No,29,No,Marketing,8.0,Low,5.0,Cat_6,C
4125,Male,Yes,67,Yes,Entertainment,1.0,Average,3.0,Cat_6,C
8813,Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_6,D
8934,Male,No,33,Yes,Healthcare,,Low,4.0,Cat_6,C
5991,Male,Yes,30,No,Doctor,,Average,2.0,Cat_4,A
1527,Male,No,36,No,Marketing,,Low,4.0,Cat_4,D
10315,Female,Yes,37,Yes,Doctor,1.0,Average,2.0,Cat_6,C
8013,Female,No,37,Yes,Marketing,0.0,Low,1.0,Cat_4,D
7795,Female,Yes,37,Yes,Artist,,Average,3.0,Cat_6,B
851,Male,Yes,56,Yes,Artist,0.0,Low,1.0,Cat_6,D
8527,Male,Yes,36,Yes,Artist,0.0,Average,2.0,Cat_6,C
9292,Male,Yes,56,Yes,Artist,1.0,Low,4.0,Cat_4,C
5588,Male,No,25,Yes,Marketing,,Low,5.0,Cat_3,C
3844,Male,Yes,61,Yes,Entertainment,4.0,Average,2.0,Cat_5,B
8899,Male,Yes,39,No,Engineer,2.0,Average,,Cat_4,A
2321,Male,No,30,Yes,Doctor,10.0,Low,4.0,Cat_6,D
3984,Male,Yes,43,Yes,Entertainment,,Low,4.0,Cat_3,A
2630,Male,Yes,56,Yes,Executive,0.0,High,4.0,Cat_6,B
2519,Female,No,27,No,Artist,0.0,Low,5.0,Cat_2,A
4091,Male,Yes,36,No,Executive,1.0,High,3.0,Cat_6,B
7869,Male,Yes,32,Yes,Homemaker,8.0,Low,,Cat_6,D
3403,Female,Yes,37,Yes,Artist,,Average,3.0,Cat_7,B
5433,Male,Yes,49,No,Engineer,1.0,Average,8.0,Cat_4,D
6596,Female,No,48,No,Engineer,12.0,Low,1.0,Cat_4,D
7620,Male,Yes,70,Yes,Lawyer,0.0,High,2.0,Cat_6,B
4842,Male,Yes,76,Yes,Lawyer,8.0,High,2.0,Cat_6,A
9471,Male,Yes,48,Yes,Artist,0.0,Low,2.0,Cat_6,C
2743,Male,No,35,Yes,Artist,9.0,Low,3.0,Cat_6,A
2174,Female,Yes,35,Yes,Engineer,5.0,Low,2.0,Cat_6,B
6953,Female,Yes,65,No,Lawyer,,High,3.0,Cat_6,A
10401,Male,Yes,52,Yes,Marketing,1.0,High,4.0,Cat_6,C
3098,Female,Yes,25,No,Engineer,6.0,Average,8.0,Cat_4,D
8872,Male,No,26,Yes,Healthcare,0.0,Low,5.0,Cat_6,D
4080,Male,Yes,62,Yes,Artist,0.0,Low,3.0,Cat_6,C
402,Female,No,72,Yes,Artist,1.0,Low,2.0,Cat_2,B
9614,Male,Yes,43,No,Artist,8.0,Low,1.0,Cat_6,A
8781,Female,Yes,86,Yes,Lawyer,1.0,Low,1.0,Cat_6,C
10176,Male,Yes,65,No,Entertainment,7.0,Average,4.0,Cat_4,D
10494,Male,No,43,Yes,Artist,1.0,Low,2.0,Cat_6,A
4253,Female,Yes,61,Yes,Entertainment,1.0,Average,5.0,Cat_6,B
8150,Male,Yes,46,Yes,Executive,1.0,High,5.0,Cat_6,B
9160,Male,Yes,26,No,Entertainment,8.0,Low,2.0,Cat_4,D
6542,Male,Yes,42,No,Artist,6.0,Low,2.0,Cat_6,B
3140,Female,No,72,Yes,Lawyer,0.0,Low,,Cat_6,B
5679,Male,No,59,Yes,Artist,1.0,Low,1.0,Cat_6,B
10347,Female,Yes,52,No,Engineer,1.0,High,2.0,Cat_6,A
3071,Female,No,27,Yes,,1.0,Low,1.0,Cat_6,A
4746,Female,Yes,81,No,Lawyer,,High,2.0,Cat_3,D
10296,Female,Yes,68,Yes,Artist,4.0,Low,2.0,Cat_6,B
5118,Male,No,32,No,Marketing,0.0,Low,4.0,Cat_6,B
1398,Male,Yes,52,Yes,Artist,6.0,Average,2.0,Cat_6,B
10006,Female,Yes,46,No,Engineer,1.0,Average,5.0,Cat_6,C
1549,Male,No,23,No,Healthcare,9.0,Low,6.0,Cat_4,B
4027,Male,No,62,Yes,Entertainment,1.0,Low,4.0,Cat_2,C
9763,Female,No,26,No,Engineer,,Low,4.0,Cat_4,A
3179,Female,No,25,Yes,Healthcare,5.0,Low,3.0,Cat_3,A
7270,Male,Yes,29,No,Engineer,0.0,Average,3.0,Cat_4,A
8533,Male,Yes,57,No,,1.0,Average,2.0,Cat_4,C
7131,Male,No,36,Yes,Marketing,0.0,Low,1.0,Cat_6,A
2442,Male,Yes,41,Yes,Entertainment,0.0,Average,3.0,Cat_4,C
9290,Male,No,37,Yes,Artist,12.0,Low,1.0,Cat_6,B
1254,Female,No,27,No,Marketing,8.0,Low,4.0,Cat_2,D
6032,Female,No,39,No,Engineer,1.0,Low,3.0,Cat_3,A
5488,Male,Yes,50,Yes,Artist,0.0,Low,1.0,Cat_6,A
9999,Male,No,31,No,Doctor,1.0,Low,5.0,Cat_2,D
10454,Male,Yes,69,No,Lawyer,,High,,Cat_6,D
6021,Female,Yes,37,No,Artist,0.0,Average,2.0,Cat_4,D
9026,Male,Yes,32,No,Entertainment,1.0,Average,2.0,Cat_6,B
6577,Female,No,39,Yes,Engineer,,Low,3.0,Cat_6,B
6161,Male,No,22,No,Healthcare,0.0,Low,4.0,Cat_6,D
6580,Male,Yes,68,No,Executive,,High,3.0,Cat_7,B
4407,Female,No,28,No,Entertainment,0.0,Low,1.0,Cat_3,D
10054,Female,No,27,No,Homemaker,9.0,Low,1.0,Cat_6,D
298,Male,No,33,No,Artist,,Low,4.0,Cat_6,D
6065,Male,Yes,53,Yes,Executive,9.0,Low,1.0,Cat_4,D
88,Male,Yes,84,No,Lawyer,0.0,Low,1.0,Cat_6,D
2416,Female,Yes,35,Yes,Doctor,7.0,Average,3.0,Cat_4,A
8134,Male,No,30,Yes,Doctor,0.0,Low,5.0,Cat_2,A
5631,Male,No,32,Yes,Healthcare,,Low,,Cat_6,D
6680,Female,Yes,40,Yes,Engineer,1.0,Average,7.0,Cat_6,A
7856,Female,Yes,48,Yes,Artist,1.0,Average,2.0,Cat_6,C
4743,Female,Yes,37,Yes,Artist,1.0,Average,3.0,Cat_3,B
7245,Female,No,28,Yes,Homemaker,11.0,Low,1.0,,D
8032,Male,Yes,89,Yes,Executive,3.0,Low,3.0,Cat_6,A
131,Female,Yes,67,Yes,Artist,9.0,Low,3.0,Cat_6,B
8678,Female,Yes,38,No,Artist,0.0,Low,3.0,Cat_6,C
525,Female,Yes,36,No,Entertainment,1.0,Average,2.0,Cat_4,A
7484,Male,Yes,52,Yes,Entertainment,0.0,Average,2.0,Cat_6,C
4643,Male,Yes,28,No,Artist,0.0,Average,2.0,Cat_6,D
2480,Male,No,22,No,Entertainment,1.0,Low,4.0,Cat_6,D
2840,Male,No,33,Yes,Artist,1.0,Low,2.0,Cat_6,C
7231,Female,No,33,Yes,Healthcare,1.0,Low,5.0,Cat_2,B
10404,Male,No,23,No,Healthcare,1.0,Low,2.0,Cat_6,D
9613,Male,No,18,No,Doctor,0.0,Low,3.0,Cat_6,D
1525,Female,Yes,71,No,Engineer,2.0,Low,1.0,Cat_6,B
8330,Female,No,42,Yes,Artist,1.0,Low,2.0,Cat_6,A
6796,Male,Yes,52,No,Entertainment,1.0,Average,3.0,Cat_6,B
4944,Male,Yes,61,Yes,Entertainment,11.0,Average,3.0,Cat_6,A
2153,Male,No,35,Yes,Artist,,Low,1.0,Cat_6,A
6474,Female,Yes,81,No,Lawyer,,High,2.0,Cat_6,D
3900,Female,Yes,56,Yes,Artist,1.0,Average,5.0,Cat_6,D
2295,Female,Yes,38,Yes,Engineer,,Average,3.0,Cat_4,A
22,Female,No,18,No,Healthcare,1.0,Low,4.0,Cat_6,D
549,Female,Yes,52,No,,7.0,Average,7.0,Cat_4,A
5046,Male,Yes,69,Yes,Artist,1.0,Average,,Cat_3,C
3004,Male,No,29,Yes,Entertainment,0.0,Low,5.0,Cat_4,C
2709,Female,Yes,38,No,Artist,0.0,Low,3.0,Cat_6,C
9429,Female,Yes,43,Yes,Artist,0.0,Average,2.0,Cat_1,C
8601,Female,No,36,Yes,Artist,0.0,Low,2.0,Cat_6,B
3266,Female,Yes,41,Yes,Artist,0.0,Low,4.0,Cat_6,A
9309,Male,Yes,37,Yes,Executive,0.0,High,3.0,Cat_6,B
9238,Male,Yes,70,Yes,Lawyer,,High,2.0,Cat_6,D
8940,Male,Yes,51,No,Executive,2.0,High,5.0,Cat_6,A
3455,Female,Yes,68,No,Lawyer,,Average,2.0,Cat_6,D
1238,Male,No,29,Yes,Artist,,Low,2.0,Cat_6,B
1358,Female,No,29,Yes,Healthcare,0.0,Low,4.0,Cat_6,A
5376,Male,Yes,47,Yes,Executive,1.0,High,4.0,Cat_6,B
4144,Male,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_1,B
5449,Male,No,27,Yes,Doctor,0.0,Low,2.0,Cat_3,A
7708,Male,No,20,No,Healthcare,1.0,Low,6.0,Cat_4,D
6506,Male,No,36,Yes,Doctor,1.0,Low,1.0,Cat_6,A
6375,Male,Yes,31,Yes,Executive,1.0,High,2.0,Cat_6,A
3164,Male,Yes,28,No,Entertainment,0.0,Average,2.0,Cat_4,A
